,abbrev,currentProjectedRank,divisionId,draftDayProjectedRank,id,isActive,logo,logoType,name,owners,playoffSeed,points,pointsAdjusted,pointsDelta,primaryOwner,rankCalculatedFinal,rankFinal,waiverRank,draftStrategy.keeperPlayerIds,record.away.gamesBack,record.away.losses,record.away.percentage,record.away.pointsAgainst,record.away.pointsFor,record.away.streakLength,record.away.streakType,record.away.ties,record.away.wins,record.division.gamesBack,record.division.losses,record.division.percentage,record.division.pointsAgainst,record.division.pointsFor,record.division.streakLength,record.division.streakType,record.division.ties,record.division.wins,record.home.gamesBack,record.home.losses,record.home.percentage,record.home.pointsAgainst,record.home.pointsFor,record.home.streakLength,record.home.streakType,record.home.ties,record.home.wins,record.overall.gamesBack,record.overall.losses,record.overall.percentage,record.overall.pointsAgainst,record.overall.pointsFor,record.overall.streakLength,record.overall.streakType,record.overall.ties,record.overall.wins,tradeBlock.players.4426338,transactionCounter.acquisitionBudgetSpent,transactionCounter.acquisitions,transactionCounter.drops,transactionCounter.matchupAcquisitionTotals.1,transactionCounter.matchupAcquisitionTotals.2,transactionCounter.matchupAcquisitionTotals.3,transactionCounter.matchupAcquisitionTotals.4,transactionCounter.matchupAcquisitionTotals.5,transactionCounter.matchupAcquisitionTotals.6,transactionCounter.matchupAcquisitionTotals.7,transactionCounter.matchupAcquisitionTotals.8,transactionCounter.matchupAcquisitionTotals.9,transactionCounter.matchupAcquisitionTotals.10,transactionCounter.matchupAcquisitionTotals.11,transactionCounter.matchupAcquisitionTotals.12,transactionCounter.matchupAcquisitionTotals.13,transactionCounter.matchupAcquisitionTotals.14,transactionCounter.matchupAcquisitionTotals.15,transactionCounter.misc,transactionCounter.moveToActive,transactionCounter.moveToIR,transactionCounter.paid,transactionCounter.teamCharges,transactionCounter.trades,valuesByStat.128,valuesByStat.129,valuesByStat.130,valuesByStat.3,valuesByStat.4,valuesByStat.132,valuesByStat.133,valuesByStat.134,valuesByStat.135,valuesByStat.136,valuesByStat.17,valuesByStat.18,valuesByStat.19,valuesByStat.20,valuesByStat.24,valuesByStat.25,valuesByStat.26,valuesByStat.37,valuesByStat.38,valuesByStat.42,valuesByStat.43,valuesByStat.44,valuesByStat.53,valuesByStat.56,valuesByStat.57,valuesByStat.63,valuesByStat.198,valuesByStat.72,valuesByStat.201,valuesByStat.77,valuesByStat.80,valuesByStat.85,valuesByStat.86,valuesByStat.89,valuesByStat.90,valuesByStat.91,valuesByStat.92,valuesByStat.93,valuesByStat.95,valuesByStat.96,valuesByStat.97,valuesByStat.98,valuesByStat.99,valuesByStat.101,valuesByStat.102,valuesByStat.103,valuesByStat.104,valuesByStat.106,valuesByStat.107,valuesByStat.108,valuesByStat.123,valuesByStat.124,valuesByStat.125,watchList,draftStrategy.futureKeeperPlayerIds
0,PARR,5,0,1,1,False,https://media.tenor.com/images/d8ee62302306894badd64ab380176ac6/tenor.gif,CUSTOM_VALID,Vonnies Chubbies,['{007F5398-0BBC-46FD-BF53-980BBC16FD55}'],5,1595.4499999999998,0.0,0.0,{007F5398-0BBC-46FD-BF53-980BBC16FD55},0,0,7,[],0.0,4,0.42857142857142855,0.0,0.0,1,LOSS,0,3,3.0,7,0.5,0.0,0.0,1,WIN,0,7,0.0,3,0.5714285714285714,0.0,0.0,1,WIN,0,4,3.0,7,0.5,1543.0800000000002,1595.4499999999998,1,WIN,0,7,ON_THE_BLOCK,80,51,52,1.0,6.0,3.0,7.0,5.0,6,3.0,4.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,0,78,5,0.0,0.0,0,0.0,1.0,7.0,3325.0,16.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,2676.0,24.0,0.0,7.0,0.0,4011.0,28.0,0.0,355.0,9.0,0.0,0.0,2.0,6.0,0.0,6.0,16.0,6.0,35.0,0.0,1.0,2.0,6.0,1.0,9.0,6.0,4.0,1.0,42.0,0.0,0.0,1.0,1.0,8.0,343.0,579.0,0.0,0.0,0.0,,
1,WILL,1,0,5,2,False,http://blogs.denverpost.com/broncos/files/2015/08/von-miller-broncos-training-camp.jpg,CUSTOM_VALID,Murican Futball Crusaders,['{BF4DA5CD-52FC-4A69-896F-BC7A17249860}'],1,1557.1200000000001,0.0,0.0,{BF4DA5CD-52FC-4A69-896F-BC7A17249860},0,0,11,[],0.0,2,0.6666666666666666,0.0,0.0,4,WIN,0,4,0.0,4,0.7142857142857143,0.0,0.0,5,WIN,0,10,0.0,2,0.75,0.0,0.0,2,WIN,0,6,0.0,4,0.7142857142857143,1457.1799999999998,1557.1200000000001,5,WIN,0,10,,72,26,25,1.0,2.0,3.0,2.0,3.0,2,,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,0,68,2,0.0,0.0,1,0.0,0.0,5.0,3313.0,20.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,2458.0,27.0,1.0,10.0,0.0,4163.0,25.0,3.0,364.0,9.0,0.0,0.0,2.0,4.0,0.0,5.0,21.0,7.0,34.0,0.0,0.0,3.0,3.0,0.0,4.0,12.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,16.0,383.0,593.0,0.0,1.0,0.0,,
2,SHIT,11,0,3,3,False,https://i.postimg.cc/kMkMJDfQ/TECOMDt.jpg,CUSTOM_VALID,The Annexation  of Puerto Rico,['{B5825ED4-BB63-4B1F-825E-D4BB635B1F72}'],11,1428.45,0.0,0.0,{B5825ED4-BB63-4B1F-825E-D4BB635B1F72},0,0,1,[],0.0,4,0.5,0.0,0.0,1,WIN,0,4,5.0,9,0.35714285714285715,0.0,0.0,1,WIN,0,5,0.0,5,0.16666666666666666,0.0,0.0,3,LOSS,0,1,5.0,9,0.35714285714285715,1576.9,1428.45,1,WIN,0,5,,98,32,34,,5.0,4.0,2.0,1.0,3,5.0,1.0,,1.0,2.0,3.0,2.0,3.0,,0,58,2,0.0,0.0,0,0.0,2.0,4.0,3350.0,27.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,2062.0,15.0,1.0,3.0,0.0,3780.0,22.0,0.0,356.0,9.0,0.0,0.0,3.0,6.0,0.0,4.0,14.0,7.0,23.0,0.0,1.0,2.0,5.0,0.0,8.0,9.0,1.0,1.0,43.0,0.0,1.0,0.0,0.0,11.0,343.0,594.0,3.0,1.0,0.0,,
3,GEOR,10,0,9,4,False,"https://ih0.redbubble.net/image.242052334.1669/poster,840x830,f8f8f8-pad,750x1000,f8f8f8.u1.jpg",CUSTOM_VALID,California Sunday School,"['{4B1DDA8A-1318-4949-A91F-D9B76C3FC5D9}', '{B93D7489-67EE-418A-92A0-8EBEF8BE7D16}']",10,1400.5900000000001,0.0,0.0,{4B1DDA8A-1318-4949-A91F-D9B76C3FC5D9},0,0,2,[],0.0,4,0.42857142857142855,0.0,0.0,1,WIN,0,3,4.0,8,0.42857142857142855,0.0,0.0,2,LOSS,0,6,0.0,4,0.42857142857142855,0.0,0.0,3,LOSS,0,3,4.0,8,0.42857142857142855,1410.0399999999995,1400.5900000000001,2,LOSS,0,6,,85,22,22,,,2.0,,3.0,3,,1.0,1.0,2.0,2.0,2.0,3.0,3.0,,0,60,0,0.0,0.0,0,0.0,0.0,4.0,2986.0,13.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,2528.0,21.0,2.0,4.0,0.0,3376.0,20.0,1.0,343.0,6.0,0.0,0.0,13.0,5.0,0.0,4.0,16.0,6.0,29.0,0.0,0.0,3.0,1.0,0.0,7.0,10.0,0.0,1.0,38.0,1.0,0.0,0.0,1.0,15.0,334.0,585.0,1.0,2.0,0.0,,
4,MILF,4,0,4,5,False,https://i.pinimg.com/236x/cc/6f/97/cc6f97cc03ea7350b67cd7064b4470b2--phoenix-oil.jpg,CUSTOM_VALID,Blondes Give Me A Chubb,['{B07A03AF-B9F6-471D-B11C-003E4A78286F}'],4,1583.0500000000002,0.0,0.0,{B07A03AF-B9F6-471D-B11C-003E4A78286F},0,0,8,[],0.0,3,0.5714285714285714,0.0,0.0,1,WIN,0,4,2.0,6,0.5714285714285714,0.0,0.0,2,WIN,0,8,0.0,3,0.5714285714285714,0.0,0.0,1,WIN,0,4,2.0,6,0.5714285714285714,1521.6699999999996,1583.0500000000002,2,WIN,0,8,,5,6,6,,,,,,2,1.0,,1.0,,,1.0,1.0,,,0,28,0,0.0,0.0,0,0.0,1.0,8.0,3895.0,33.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,6.0,2864.0,25.0,0.0,6.0,0.0,3106.0,21.0,0.0,328.0,4.0,0.0,0.0,9.0,10.0,2.0,10.0,9.0,6.0,25.0,0.0,0.0,2.0,0.0,1.0,12.0,8.0,2.0,0.0,39.0,1.0,0.0,1.0,0.0,14.0,312.0,533.0,1.0,1.0,0.0,,
5,PRIZ,8,0,10,8,False,https://pbs.twimg.com/profile_images/1675634586833829891/S68kfoNc_400x400.jpg,CUSTOM_VALID,I am Magic Claw,['{29F7B9A0-2C6B-464F-AC4D-65EA5A60686B}'],8,1398.1100000000001,0.0,0.0,{29F7B9A0-2C6B-464F-AC4D-65EA5A60686B},0,0,4,[],0.0,3,0.5714285714285714,0.0,0.0,2,WIN,0,4,3.0,7,0.5,0.0,0.0,1,LOSS,0,7,0.0,4,0.42857142857142855,0.0,0.0,4,LOSS,0,3,3.0,7,0.5,1524.76,1398.1100000000001,1,LOSS,0,7,,76,23,24,,6.0,1.0,1.0,3.0,1,1.0,2.0,1.0,,1.0,2.0,1.0,3.0,,0,63,1,0.0,0.0,1,0.0,0.0,5.0,3349.0,24.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,10.0,1580.0,20.0,0.0,2.0,0.0,3639.0,21.0,2.0,328.0,10.0,0.0,0.0,2.0,7.0,0.0,4.0,17.0,3.0,39.0,0.0,2.0,2.0,3.0,0.0,13.0,4.0,0.0,0.0,43.0,0.0,0.0,4.0,2.0,9.0,381.0,564.0,2.0,1.0,0.0,"[4595348, 4432665, 4429160, 4429084]",[]
6,LENG,12,0,12,10,False,https://s3.amazonaws.com/fbasfb/img/uploads/52525f22-2a00-4fe3-9528-4a26cdc4d1be,CUSTOM_VALID,Show me your TDs,['{2D14BD0D-65CA-4F09-95A3-3A14A5242FBF}'],12,1385.2199999999998,0.0,0.0,{2D14BD0D-65CA-4F09-95A3-3A14A5242FBF},0,0,12,[],0.0,4,0.3333333333333333,0.0,0.0,2,WIN,0,2,7.0,11,0.21428571428571427,0.0,0.0,1,LOSS,0,3,0.0,7,0.125,0.0,0.0,5,LOSS,0,1,7.0,11,0.21428571428571427,1598.3399999999997,1385.2199999999998,1,LOSS,0,3,,81,13,12,,2.0,,,2.0,1,1.0,2.0,,,,2.0,1.0,1.0,1.0,0,36,3,0.0,0.0,0,0.0,0.0,5.0,3548.0,19.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,9.0,1454.0,15.0,1.0,3.0,0.0,3679.0,22.0,0.0,311.0,7.0,0.0,0.0,7.0,5.0,0.0,8.0,14.0,2.0,49.0,0.0,0.0,2.0,0.0,0.0,16.0,8.0,0.0,0.0,47.0,0.0,0.0,1.0,2.0,11.0,309.0,568.0,3.0,0.0,0.0,,
7,LSD,3,0,8,11,False,https://media1.tenor.com/m/l8RwbTkpNXsAAAAd/mike-tomlin-walk-away.gif,CUSTOM,The Peeping Tomlins,"['{511F23C4-B237-49F9-B8DA-7BA13B1912E1}', '{4D7C0F61-785A-4FA6-AE20-F146009AD9DD}']",3,1569.7599999999998,0.0,0.0,{511F23C4-B237-49F9-B8DA-7BA13B1912E1},0,0,9,[],0.0,3,0.625,0.0,0.0,1,WIN,0,5,1.0,5,0.6428571428571429,0.0,0.0,2,WIN,0,9,0.0,2,0.6666666666666666,0.0,0.0,4,WIN,0,4,1.0,5,0.6428571428571429,1456.34,1569.7599999999998,2,WIN,0,9,,55,17,17,,,,2.0,,2,1.0,3.0,2.0,3.0,2.0,2.0,,,,0,31,1,0.0,0.0,0,0.0,2.0,5.0,3564.0,16.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,1961.0,13.0,0.0,3.0,0.0,4346.0,24.0,1.0,359.0,11.0,1.0,1.0,11.0,6.0,0.0,7.0,20.0,3.0,34.0,0.0,2.0,3.0,3.0,0.0,18.0,15.0,3.0,0.0,35.0,0.0,1.0,0.0,1.0,18.0,341.0,544.0,1.0,0.0,0.0,,
8,KELS,6,0,11,12,False,https://g.espncdn.com/s/ffllm/logos/CrazyHelmets-ToddDetwiler/Helmets_06.svg,VECTOR,Nothing to CTE Here,['{F61C9304-FD75-44C7-9C93-04FD7594C762}'],6,1480.3799999999999,0.0,0.0,{F61C9304-FD75-44C7-9C93-04FD7594C762},0,0,6,[],0.0,2,0.6666666666666666,0.0,0.0,1,LOSS,0,4,3.0,7,0.5,0.0,0.0,2,LOSS,0,7,0.0,5,0.375,0.0,0.0,5,LOSS,0,3,3.0,7,0.5,1445.6299999999999,1480.3799999999999,2,LOSS,0,7,,100,21,20,,,1.0,2.0,1.0,4,,1.0,2.0,,1.0,1.0,1.0,4.0,3.0,0,71,4,0.0,0.0,1,0.0,0.0,4.0,3637.0,34.0,1.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,2722.0,20.0,1.0,4.0,0.0,3372.0,20.0,3.0,331.0,6.0,0.0,0.0,6.0,12.0,0.0,5.0,12.0,8.0,42.0,0.0,0.0,1.0,2.0,0.0,15.0,5.0,1.0,0.0,35.0,0.0,2.0,1.0,0.0,10.0,384.0,611.0,3.0,4.0,0.0,,
9,EATA,9,0,2,13,False,http://m.quickmeme.com/img/53/539455095e2a7f4079fd49e76df30293b5da1b74b2b43cbe1ff5782e9aae5c0f.jpg,CUSTOM_VALID,Hurts in the Brown Bachs,['{093D75FC-3968-4ECE-8252-71FF095477E9}'],9,1446.42,0.0,0.0,{093D75FC-3968-4ECE-8252-71FF095477E9},0,0,3,[],0.0,4,0.5,0.0,0.0,2,WIN,0,4,4.0,8,0.42857142857142855,0.0,0.0,1,WIN,0,6,0.0,4,0.3333333333333333,0.0,0.0,2,LOSS,0,2,4.0,8,0.42857142857142855,1546.0200000000002,1446.42,1,WIN,0,6,,100,28,28,,1.0,2.0,1.0,3.0,2,6.0,2.0,2.0,1.0,3.0,,3.0,2.0,,0,45,4,0.0,0.0,0,0.0,4.0,3.0,3383.0,23.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,2374.0,12.0,0.0,7.0,0.0,3477.0,22.0,1.0,318.0,6.0,0.0,0.0,9.0,4.0,0.0,7.0,12.0,3.0,31.0,0.0,3.0,4.0,2.0,0.0,15.0,4.0,2.0,0.0,32.0,0.0,1.0,2.0,0.0,10.0,307.0,551.0,1.0,0.0,0.0,,
10,PR,7,0,7,14,False,https://g.espncdn.com/lm-static/logo-packs/ffl/TeamKinny-MartinLaksman/TeamKinny-24.svg,VECTOR,Purple Reign,['{5CB933C7-9C74-43B4-B346-32C437231AF8}'],7,1437.1099999999997,0.0,0.0,{5CB933C7-9C74-43B4-B346-32C437231AF8},0,0,5,[],0.0,2,0.7142857142857143,0.0,0.0,1,WIN,0,5,3.0,7,0.5,0.0,0.0,1,LOSS,0,7,0.0,5,0.2857142857142857,0.0,0.0,4,LOSS,0,2,3.0,7,0.5,1416.38,1437.1099999999997,1,LOSS,0,7,,31,21,21,,1.0,1.0,3.0,1.0,2,3.0,2.0,2.0,2.0,1.0,,1.0,2.0,,0,43,2,0.0,0.0,0,0.0,1.0,4.0,2689.0,16.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,2749.0,22.0,1.0,7.0,0.0,3499.0,24.0,1.0,261.0,6.0,0.0,0.0,5.0,4.0,0.0,5.0,13.0,3.0,40.0,0.0,0.0,3.0,1.0,0.0,19.0,7.0,1.0,0.0,38.0,0.0,0.0,1.0,2.0,11.0,342.0,559.0,3.0,1.0,0.0,,
11,KPR,2,0,6,15,False,https://i.pinimg.com/736x/43/ad/b0/43adb04d8766ae8147de4620a8fe0919.jpg,CUSTOM_VALID,Kris P. Roni,['{0653C009-02A9-41F7-81A4-94DE49FBDAFE}'],2,1782.6799999999998,0.0,0.0,{0653C009-02A9-41F7-81A4-94DE49FBDAFE},0,0,10,[],0.0,2,0.7142857142857143,0.0,0.0,1,LOSS,0,5,1.0,5,0.6428571428571429,0.0,0.0,2,LOSS,0,9,0.0,3,0.5714285714285714,0.0,0.0,1,LOSS,0,4,1.0,5,0.6428571428571429,1568.0000000000002,1782.6799999999998,2,LOSS,0,9,,84,17,19,,2.0,3.0,,1.0,1,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,0,38,0,0.0,0.0,1,0.0,0.0,10.0,2782.0,19.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4431.0,47.0,3.0,13.0,1.0,3488.0,20.0,0.0,301.0,8.0,0.0,0.0,4.0,8.0,1.0,6.0,10.0,3.0,43.0,0.0,2.0,4.0,2.0,0.0,10.0,6.0,2.0,0.0,44.0,0.0,0.0,0.0,0.0,13.0,350.0,559.0,1.0,0.0,0.0,,
